unix_timestamp,bid,ask,mid
1759175616.052778,0.9993,0.9994,0.999350
1759175622.5829716,0.9993,0.9994,0.999350
1759175624.901174,0.9993,0.9994,0.999350
1759175625.7086742,0.9993,0.9994,0.999350
1759175628.5573847,0.9993,0.9994,0.999350
1759175630.5676265,0.9993,0.9994,0.999350
1759175634.3241663,0.9993,0.9994,0.999350
1759175634.8940508,0.9993,0.9994,0.999350
1759175636.11447,0.9993,0.9994,0.999350
1759175638.4527671,0.9993,0.9994,0.999350
1759175642.906815,0.9993,0.9994,0.999350
1759175644.2057269,0.9993,0.9994,0.999350
1759175645.15348,0.9993,0.9994,0.999350
1759175645.4496012,0.9993,0.9994,0.999350
1759175648.5354939,0.9993,0.9994,0.999350
1759175650.0917995,0.9993,0.9994,0.999350
1759175651.70568,0.9993,0.9994,0.999350
1759175653.0114565,0.9993,0.9994,0.999350
1759175660.9096265,0.9993,0.9994,0.999350
1759175665.5821106,0.9993,0.9994,0.999350
1759175665.917035,0.9993,0.9994,0.999350
1759175669.1832054,0.9993,0.9994,0.999350
1759175670.9572027,0.9993,0.9994,0.999350
1759175672.7014174,0.9993,0.9994,0.999350
1759175676.2099655,0.9993,0.9994,0.999350
1759175678.3724265,0.9993,0.9994,0.999350
1759175679.7029681,0.9993,0.9994,0.999350
1759175680.9044523,0.9993,0.9994,0.999350
1759175681.4980564,0.9993,0.9994,0.999350
1759175683.2052937,0.9993,0.9994,0.999350
1759175688.7374287,0.9993,0.9994,0.999350
1759175690.9730022,0.9993,0.9994,0.999350
1759175691.727041,0.9993,0.9994,0.999350
1759175694.8862364,0.9993,0.9994,0.999350
1759175696.6007867,0.9993,0.9994,0.999350
1759175698.4610562,0.9993,0.9994,0.999350
1759175702.6753688,0.9993,0.9994,0.999350
1759175704.4917173,0.9993,0.9994,0.999350
1759175706.0204275,0.9993,0.9994,0.999350
1759175710.2078707,0.9993,0.9994,0.999350
1759175720.9022598,0.9993,0.9994,0.999350
1759175721.7080991,0.9993,0.9994,0.999350
1759175723.7009063,0.9993,0.9994,0.999350
1759175726.576625,0.9993,0.9994,0.999350
1759175727.2075849,0.9993,0.9994,0.999350
1759175730.7379541,0.9993,0.9994,0.999350
1759175730.9883974,0.9993,0.9994,0.999350
1759175733.7007272,0.9993,0.9994,0.999350
1759175735.9220235,0.9993,0.9994,0.999350
1759175742.5976598,0.9993,0.9994,0.999350
1759175744.206223,0.9993,0.9994,0.999350
